titre,url,source,date_publi,resume,score_alerte
Incendies dans le Sud-Ouest : la SNCF maintient jusqu’à dimanche l’annulation des TGV au sud de Bordeaux,https://www.lemonde.fr/planete/article/2026/07/29/incendies-dans-le-sud-ouest-la-sncf-maintient-jusqu-a-dimanche-l-annulation-des-tgv-au-sud-de-bordeaux_6736413_3244.html,www.lemonde.fr,"Wed, 29 Jul 2026 20:40:04 +0200","Tous les TGV vers le Sud-Ouest au départ de Paris ont leur terminus à Bordeaux, sauf ceux en direction de Toulouse, « compte tenu de la situation exceptionnelle provoquée par les incendies », a annoncé SNCF Voyageurs.",0
"Attention si vous avez prévu de partir en vacances en train: la SNCF annonce une grève surprise en Normandie avec un trafic ""perturbé"" sur plusieurs lignes de vendredi à dimanche",https://www.bfmtv.com/economie/entreprises/transports/attention-si-vous-avez-prevu-de-partir-en-vacances-en-train-la-sncf-annonce-une-greve-surprise-en-normandie-avec-un-trafic-perturbe-sur-plusieurs-lignes-de-vendredi-a-dimanche_AV-202607300298.html,www.bfmtv.com,"Thu, 30 Jul 2026 09:56:36 GMT","Les voyageurs sont invités à ""reporter"" leur voyage ""dans la mesure du possible"" alors que le trafic sera perturbé sur plusieurs lignes normandes ce week-end.<br /><br /><img src=""https://images.bfmtv.com/oDDnA_vVy3mtG-iF9fTMc8a0rXw=/84x0:1172x612/800x0/images/Les-reservations-bientot-obligatoires-d",0
