titre,annee,realisateur,note_presse,note_spectateurs,url
Casino,1996,Martin Scorsese,4.4,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=14178.html
Heat,1996,Michael Mann,3.2,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=14046.html
Requiem pour un massacre,1987,Elem Klimov,,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=2688.html
Incendies,2011,Denis Villeneuve,3.8,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=179349.html
Les Rapaces,1924,Erich Von Stroheim,5.0,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=4172.html
La Nuit du chasseur,1956,Charles Laughton,5.0,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=4963.html
Avatar,2009,James Cameron,4.3,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=61282.html
Les Graines du figuier sauvage,2024,Mohammad Rasoulof,4.4,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=1000001702.html
Baby Cart la saga,2005,Kenji Misumi,4.5,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=108503.html
La passion de Jeanne d'Arc,1928,Carl Theodor Dreyer,4.8,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=264.html
Ma Vie De Courgette,2016,Claude Barras,4.4,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=236415.html
Ratatouille,2007,Brad Bird,4.5,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=46211.html
Warrior,2011,Gavin O'Connor,3.6,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=138673.html
Top Gun: Maverick,2022,Joseph Kosinski,3.7,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=186636.html
E.T. l'extra-terrestre,1982,Steven Spielberg,4.8,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=29718.html
Amadeus,1984,Milos Forman,4.5,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=67.html
Vice Versa,2015,"Pete Docter, Ronaldo Del Carmen",4.7,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=196960.html
Le Discours d'un roi,2011,Tom Hooper,4.0,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=175305.html
Casablanca,1947,Michael Curtiz,4.4,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=2645.html
Aladdin,1993,"John Musker, Ron Clements",4.4,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=8640.html
Rush,2013,Ron Howard,4.1,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=195370.html
Les Enfants du Paradis,1945,Marcel Carné,5.0,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=182.html
The Father,2021,Florian Zeller,3.9,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=273981.html
Mustang,2015,Deniz Gamze Ergüven,4.0,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=228825.html
Au Revoir Là-haut,2017,Albert Dupontel,3.9,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=230699.html
Dallas Buyers Club,2014,Jean-Marc Vallée,3.9,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=137097.html
Inglourious Basterds,2009,Quentin Tarantino,3.7,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=60208.html
Jurassic Park,1993,Steven Spielberg,3.4,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=8488.html
Le Mans 66,2019,James Mangold,3.8,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=262396.html
La Couleur des sentiments,2011,Tate Taylor,2.6,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=176673.html
Le Crime était presque parfait,1955,Alfred Hitchcock,4.4,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=700.html
Toy Story,1996,John Lasseter,4.0,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=14264.html
Sátántangó (Le Tango de Satan) - Partie 1,2020,"Béla Tarr, Agnes Hranitzky",,4.3,https://www.allocine.fr/film/fichefilm_gen_cfilm=15349.html
